Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
APA,38.79999923706055,17.450000762939453,51.95000076293945,36.685000419616706,35.212628974914544,39.112936840057365,38.409346974690756,35.791309661865235,Energy | Oil & Gas E&P | USA,4.37,0.13,2.99,73.5,120.2,10.54,2022-06-13,2022-07-19,105.20069095346436,100.59846980008886,2022-06-13,2022-08-22
AMGN,242.3699951171875,198.63999938964844,258.45001220703125,245.76544265747071,245.17695098876956,243.5438510131836,238.63175903320317,232.3601605224609,Healthcare | Drug Manufacturers - General | USA,20.53,2.56,30.91,1.0,-16.5,18.75,2022-08-23,2022-08-10,99.82199938023425,100.16253279721607,2022-08-22,2022-08-15
AMR,149.66000366210938,36.68999862670898,186.97999572753903,153.38249969482422,140.14940048217773,147.91793983459473,134.17895095825196,114.67380456924437,Basic Materials | Coking Coal | USA,2.19,-,2.92,238.1,215.2,35.86,2022-08-31,2022-08-10,114.25506371334852,107.66843135400484,2022-09-02,2022-08-15
ARCH,141.85000610351562,69.45999908447266,183.52999877929688,148.0624584197998,139.1389303588867,145.65316307067872,136.98829483032227,123.05028884887696,Energy | Thermal Coal | USA,2.92,-,5.55,151.6,184.4,33.21,2022-08-31,2022-08-10,104.6361211770868,102.18837383373379,2022-08-29,2022-08-15
AA,49.25,39.56499862670898,98.08999633789062,52.16550006866455,48.4445955657959,55.837781791687014,63.6145561726888,61.276138973236094,Basic Materials | Aluminum | USA,9.72,-,7.75,28.6,347.0,7.12,2022-08-31,2022-07-08,113.406631784886,102.77726906589987,2022-04-18,2022-08-08
ADM,87.61000061035156,58.43999862670898,98.87999725341795,86.81804504394532,80.35452835083008,83.7651838684082,83.17905746459961,78.89415140151978,Consumer Defensive | Farm Products | USA,13.83,1.5,61.29,19.0,52.5,6.16,2022-08-31,2022-07-13,114.79757783404709,106.94316199635095,2022-05-02,2022-08-08
AEP,101.08999633789062,80.22000122070312,105.4800033569336,102.53799934387207,97.98748168945312,98.00600440979004,95.97769368489584,93.15224781036379,Utilities | Utilities - Regulated Electric | USA,19.92,3.14,12.83,21.3,14.6,5.28,2022-08-24,2022-07-22,107.34969883201722,104.23775862245377,2022-09-02,2022-08-08
AIR,42.56999969482422,30.899999618530284,52.83000183105469,45.531999969482406,43.8257999420166,45.38639995574951,45.192800038655605,43.382400007247924,Industrials | Aerospace & Defense | USA,19.64,1.44,25.67,8.8,66.4,3.5,2022-08-22,2022-07-06,107.61888869201277,102.62883326278265,2022-08-29,2022-08-08
ABC,147.7100067138672,113.68000030517578,167.19000244140625,147.97213211059568,144.53077056884766,148.35020904541017,147.61818298339844,142.27548454284667,Healthcare | Medical Distribution | USA,16.96,1.67,18.31,12.5,144.4,11.47,2022-08-26,2022-08-09,102.77577219082691,100.95728474978287,2022-09-02,2022-08-08
AVAV,82.91000366210938,52.02999877929688,114.11000061035156,95.1555004119873,87.95240020751953,87.9359001159668,84.35960009256998,80.00645006179809,Industrials | Aerospace & Defense | USA,-,-,-,-2.5,-117.7,2.15,2022-08-24,2022-07-20,115.5288120429765,108.75395045596494,2022-08-29,2022-08-08
ARBE,7.300000190734862,4.830999851226807,17.270000457763672,6.949000024795533,6.038400001525879,6.448749995231628,6.611299991607666,7.418924989700318,Technology | Software - Infrastructure | Israel,-,-,-,300.0,-271.8,-0.14,2022-08-25,2022-08-26,124.74958727011627,113.73872198890291,2022-06-13,2022-08-01
ATEN,13.140000343322756,12.270000457763672,19.049999237060547,15.150100135803225,14.643226757049561,14.591003999710082,14.263571529388427,14.501899328231811,Technology | Software - Infrastructure | USA,10.24,0.51,25.39,14.9,432.5,0.81,2022-08-23,2022-07-20,107.76011064478227,103.60179607981004,2022-08-29,2022-08-01
AAL,12.989999771118164,11.93000030517578,22.350000381469727,14.258999967575074,14.1182000541687,15.49519998550415,15.92206661860148,16.417799963951108,Industrials | Airlines | USA,-,-,-,79.5,83.1,1.43,2022-08-19,2022-08-01,102.95893080385746,98.40513221187777,2022-08-29,2022-08-01
AN,122.54000091552734,96.55999755859376,135.57000732421878,125.29349975585936,119.8150003051758,117.4207000732422,114.65006673177083,114.9339001083374,Consumer Cyclical | Auto & Truck Dealerships | USA,5.27,0.21,5.19,-1.6,325.4,22.37,2022-08-29,2022-08-25,107.55079143869614,105.2286834735648,2022-09-02,2022-07-25
